flight_number,is_summer_vacation,is_holyday,f_month,week_day,company,arrival_country,depurture_country,flight_type,weather_dep,weather_arr,punctuality,f_status,scheduled_arr_time,scheduled_dep_time,updated_arr_time,updated_dep_time,webcite,time_info_taken461,false,false,8,7,,Israel,Netherlands,,,,,scheduled,4.9.2022 2:35:00,3.9.2022 22:05:00,,,https://airlabs.co/,03-09-2022  22:05:29
787,false,false,8,1,,,Turkey,,,,,scheduled,4.9.2022 2:05:00,4.9.2022 0:30:00,,,https://airlabs.co/,03-09-2022  22:05:29
48,false,false,8,7,,,Israel,,,,,scheduled,3.9.2022 22:30:00,3.9.2022 21:30:00,,,https://airlabs.co/,03-09-2022  22:05:29
4427,false,false,8,1,,,Bulgaria,,,,,scheduled,4.9.2022 8:50:00,4.9.2022 6:20:00,,,https://airlabs.co/,03-09-2022  22:05:29
7858,false,false,8,1,,,United States,,,,,scheduled,5.9.2022 4:30:00,4.9.2022 18:00:00,,,https://airlabs.co/,03-09-2022  22:05:29
3289,false,false,8,1,,,Belgium,,,,,scheduled,4.9.2022 15:05:00,4.9.2022 10:35:00,,,https://airlabs.co/,03-09-2022  22:05:29
7295,false,false,8,7,,,Austria,,,,ok,landed,3.9.2022 18:10:00,3.9.2022 14:50:00,3.9.2022 18:20:00,3.9.2022 15:02:00,https://airlabs.co/,03-09-2022  22:05:29
701,false,false,8,7,,,Greece,,,,,scheduled,3.9.2022 23:30:00,3.9.2022 21:30:00,,,https://airlabs.co/,03-09-2022  22:05:29
761,false,false,8,7,,,Malta,,,,ok,landed,3.9.2022 20:30:00,3.9.2022 17:45:00,3.9.2022 20:37:00,3.9.2022 17:54:00,https://airlabs.co/,03-09-2022  22:05:29
8897,false,false,8,7,,,Repubblica Italiana,,,,,scheduled,4.9.2022 2:55:00,3.9.2022 23:35:00,,,https://airlabs.co/,03-09-2022  22:05:29
8396,false,false,8,7,,,Spain,,,,,active,3.9.2022 22:45:00,3.9.2022 17:55:00,3.9.2022 22:29:00,3.9.2022 17:58:00,https://airlabs.co/,03-09-2022  22:05:29
675,false,false,8,7,,,Hong Kong,,,,,active,4.9.2022 7:45:00,3.9.2022 20:15:00,4.9.2022 6:16:00,3.9.2022 20:14:00,https://airlabs.co/,03-09-2022  22:05:29
3293,false,false,8,7,,,Belgium,,,,ok,scheduled,4.9.2022 2:40:00,3.9.2022 22:10:00,4.9.2022 2:55:00,3.9.2022 22:25:00,https://airlabs.co/,03-09-2022  22:05:29
9240,false,false,8,7,,,,,,,,landed,3.9.2022 19:05:00,3.9.2022 15:00:00,3.9.2022 19:02:00,3.9.2022 15:05:00,https://airlabs.co/,03-09-2022  22:05:29
8287,false,false,8,7,,,,,,,,landed,3.9.2022 21:35:00,3.9.2022 18:10:00,3.9.2022 21:29:00,3.9.2022 18:22:00,https://airlabs.co/,03-09-2022  22:05:29
9575,false,false,8,7,,,,,,,,scheduled,4.9.2022 2:35:00,3.9.2022 22:05:00,,,https://airlabs.co/,03-09-2022  22:05:29
392,false,false,8,1,,,,,,,,scheduled,4.9.2022 4:10:00,4.9.2022 0:00:00,,,https://airlabs.co/,03-09-2022  22:05:29
836,false,false,8,7,,,,,,,,landed,3.9.2022 19:05:00,3.9.2022 17:00:00,,,https://airlabs.co/,03-09-2022  22:05:29
5288,false,false,8,1,,,,,,,,scheduled,4.9.2022 4:35:00,4.9.2022 0:45:00,,,https://airlabs.co/,03-09-2022  22:05:29
5751,false,false,8,7,,,,,,,,active,3.9.2022 20:55:00,3.9.2022 15:50:00,,3.9.2022 17:34:00,https://airlabs.co/,03-09-2022  22:05:29
784,false,false,8,1,,,,,,,,scheduled,4.9.2022 8:55:00,4.9.2022 7:00:00,,,https://airlabs.co/,03-09-2022  22:05:29
791,false,false,8,1,,,,,,,,scheduled,4.9.2022 9:05:00,4.9.2022 7:30:00,,,https://airlabs.co/,03-09-2022  22:05:29
8695,false,false,8,7,,,,,,,slightly late,landed,3.9.2022 19:45:00,3.9.2022 16:30:00,3.9.2022 20:25:00,3.9.2022 17:30:00,https://airlabs.co/,03-09-2022  22:05:29
110,false,false,8,1,,,,,,,,scheduled,4.9.2022 9:00:00,4.9.2022 8:00:00,,,https://airlabs.co/,03-09-2022  22:05:29
