CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
AA,145,AMERICAN AIRLINES,2022-09-04T00:50:00,2022-09-04T00:50:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,61-67,C,ON TIME,בזמן
JU,8256,AIR SERBIA,2022-09-04T00:50:00,2022-09-04T00:50:00,D,IST,ISTANBUL,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,34-36,B,ON TIME,בזמן
TK,791,TURKISH AIRLINES,2022-09-04T00:50:00,2022-09-04T00:50:00,D,IST,ISTANBUL,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,34-36,B,ON TIME,בזמן
IZ,1164,ARKIA  ISRAELI  AIRLINES,2022-09-04T00:55:00,2022-09-04T00:51:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,"","",LANDED,נחתה
UA,073,UNITED AIRLINES,2022-09-04T00:20:00,2022-09-04T00:52:00,D,IAD,WASHINGTON-DULLES,וושינגטון,WASHINGTON,ארצות הברית,UNITED STATES,3,16-21,A,DEPARTED,המריאה
UA,955,UNITED AIRLINES,2022-09-04T00:55:00,2022-09-04T00:55:00,D,SFO,SAN FRANCISCO,סן פרנסיסקו,SAN FRANCISCO,ארצות הברית,UNITED STATES,3,21-27,A,ON TIME,בזמן
AM,7869,AERO MEXICO,2022-09-04T01:00:00,2022-09-04T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
AR,7853,AEROLINEAS ARGENTINAS S.A.,2022-09-04T01:00:00,2022-09-04T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
ET,405,ETHIOPIAN AIRLINES,2022-09-04T01:00:00,2022-09-04T01:00:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,27-33,A,ON TIME,בזמן
LY,001,EL AL ISRAEL AIRLINES,2022-09-04T01:00:00,2022-09-04T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
