CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
IB,3317,IBERIA,2022-09-04T05:30:00,2022-09-04T05:30:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,51-55,B,ON TIME,בזמן
LY,8397,EL AL ISRAEL AIRLINES,2022-09-04T05:30:00,2022-09-04T05:30:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,51-55,B,ON TIME,בזמן
VY,5270,VUELING AIRLINES S.A.,2022-09-04T05:30:00,2022-09-04T05:30:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,51-55,B,ON TIME,בזמן
DL,5937,DELTA AIRLINES,2022-09-04T04:40:00,2022-09-04T05:34:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,"","",DELAYED,עיכוב
VS,453,VIRGIN ATLANTIC AIRWAYS,2022-09-04T04:40:00,2022-09-04T05:34:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,"","",DELAYED,עיכוב
OK,5289,CZECH AIRLINES,2022-09-04T05:35:00,2022-09-04T05:35:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,18-20,A,ON TIME,בזמן
QS,1287,SMARTWINGS,2022-09-04T05:35:00,2022-09-04T05:35:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,18-20,A,ON TIME,בזמן
6H,7767,ISRAIR AIRLINES,2022-09-04T05:35:00,2022-09-04T05:35:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,18-20,A,ON TIME,בזמן
ET,414,ETHIOPIAN AIRLINES,2022-09-04T05:40:00,2022-09-04T05:40:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,"","",CANCELED,מבוטלת
AA,8374,AMERICAN AIRLINES,2022-09-04T05:50:00,2022-09-04T05:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
